Product,Scenario,UA,"C1, %",AOV,APC,CPA,Baseline CM,Scenario CM,CM Uplift,"CM Uplift, %"
Digital Marketing,Baseline,18548.0,2.56,741.67,6.11,8.061432499460858,1999087.46,1999087.46,0.0,0.0
Digital Marketing,UA + 5%,19475.4,2.56,741.67,6.11,8.061432499460858,1999087.46,2099041.83,99954.37,5.0
Digital Marketing,C1 + 5%,18548.0,2.68,741.67,6.11,8.061432499460858,1999087.46,2106518.0,107430.55,5.37
Digital Marketing,AOV + 5%,18548.0,2.56,778.75,6.11,8.061432499460858,1999087.46,2106518.0,107430.55,5.37
Digital Marketing,APC + 5%,18548.0,2.56,741.67,6.42,8.061432499460858,1999087.46,2106518.0,107430.55,5.37
Digital Marketing,CPA - 5%,18548.0,2.56,741.67,6.11,7.658360874487815,1999087.46,2006563.63,7476.17,0.37
UX/UI Design,Baseline,18548.0,1.23,749.57,5.13,8.061432499460858,727476.1,727476.1,0.0,0.0
UX/UI Design,UA + 5%,19475.4,1.23,749.57,5.13,8.061432499460858,727476.1,763849.9,36373.8,5.0
UX/UI Design,C1 + 5%,18548.0,1.29,749.57,5.13,8.061432499460858,727476.1,771326.07,43849.98,6.03
UX/UI Design,AOV + 5%,18548.0,1.23,787.05,5.13,8.061432499460858,727476.1,771326.07,43849.98,6.03
UX/UI Design,APC + 5%,18548.0,1.23,749.57,5.39,8.061432499460858,727476.1,771326.07,43849.98,6.03
UX/UI Design,CPA - 5%,18548.0,1.23,749.57,5.13,7.658360874487815,727476.1,734952.27,7476.17,1.03
Web Developer,Baseline,18548.0,0.74,690.59,3.69,8.061432499460858,199223.22,199223.22,0.0,0.0
Web Developer,UA + 5%,19475.4,0.74,690.59,3.69,8.061432499460858,199223.22,209184.38,9961.16,5.0
Web Developer,C1 + 5%,18548.0,0.78,690.59,3.69,8.061432499460858,199223.22,216660.55,17437.33,8.75
Web Developer,AOV + 5%,18548.0,0.74,725.12,3.69,8.061432499460858,199223.22,216660.55,17437.33,8.75
Web Developer,APC + 5%,18548.0,0.74,690.59,3.87,8.061432499460858,199223.22,216660.55,17437.33,8.75
Web Developer,CPA - 5%,18548.0,0.74,690.59,3.69,7.658360874487815,199223.22,206699.39,7476.17,3.75
