Date,Source,Campaign,Impressions,Spend,Clicks,AdGroup,Ad,Invalid CTR,CTR,CPC
2023-07-03,Google Ads,gen_analyst_DE,6,0.0,0,,,False,0.0,
2023-07-03,Google Ads,performancemax_eng_DE,4,0.01,1,,,False,0.25,0.01
2023-07-03,Facebook Ads,,0,0.0,0,,,False,,
2023-07-03,Google Ads,,0,0.0,0,,,False,,
2023-07-03,CRM,,0,0.0,0,,,False,,
2023-07-03,Facebook Ads,03.07.23women,187,3.3,6,women,b3,False,0.03208556149732621,0.5499999999999999
2023-07-03,Facebook Ads,03.07.23women,4,0.02,1,women,b1,False,0.25,0.02
2023-07-03,Bloggers,,0,0.0,0,,,False,,
2023-07-03,Youtube Ads,,0,0.0,0,,,False,,
2023-07-03,Facebook Ads,02.07.23wide_DE,61,0.58,0,wide,b4,False,0.0,
2023-07-03,Facebook Ads,02.07.23wide_DE,21,0.24,1,wide,b1,False,0.047619047619047616,0.24
2023-07-03,Facebook Ads,02.07.23wide_DE,303,5.29,12,wide,b3,False,0.039603960396039604,0.44083333333333335
2023-07-03,Facebook Ads,03.07.23women,78,0.83,0,women,b4,False,0.0,
2023-07-03,SMM,,0,0.0,5,,,True,,0.0
2023-07-03,Tiktok Ads,,0,0.0,0,,,False,,
2023-07-03,Organic,,0,0.0,48,,,True,,0.0
2023-07-03,Telegram posts,,0,0.0,0,,,False,,
2023-07-04,Organic,,0,0.0,37,,,True,,0.0
2023-07-04,Google Ads,,0,0.0,0,,,False,,
2023-07-04,Google Ads,performancemax_eng_DE,35,0.01,1,,,False,0.02857142857142857,0.01
2023-07-04,Google Ads,gen_analyst_DE,50,7.43,5,,,False,0.1,1.486
2023-07-04,Tiktok Ads,,0,0.0,0,,,False,,
2023-07-04,Telegram posts,,0,0.0,0,,,False,,
2023-07-04,Bloggers,,0,0.0,0,,,False,,
2023-07-04,SMM,,0,0.0,2,,,True,,0.0
2023-07-04,Facebook Ads,02.07.23wide_DE,25,0.53,0,wide,b2,False,0.0,
2023-07-04,Tiktok Ads,12.07.2023wide_DE,2156,6.67,8,wide,v2,False,0.0037105751391465678,0.83375
2023-07-04,CRM,,0,0.0,0,,,False,,
2023-07-04,Facebook Ads,,0,0.0,0,,,False,,
2023-07-04,Facebook Ads,02.07.23wide_DE,8,0.06,0,wide,b4,False,0.0,
2023-07-04,Facebook Ads,02.07.23wide_DE,4,0.02,0,wide,b1,False,0.0,
2023-07-04,Facebook Ads,03.07.23women,5,0.02,0,women,b1,False,0.0,
2023-07-04,Facebook Ads,03.07.23women,766,11.02,15,women,b3,False,0.0195822454308094,0.7346666666666667
2023-07-04,Facebook Ads,03.07.23women,19,0.25,0,women,b2,False,0.0,
2023-07-04,Facebook Ads,02.07.23wide_DE,1077,15.53,34,wide,b3,False,0.031569173630454965,0.4567647058823529
2023-07-04,Youtube Ads,,0,0.0,0,,,False,,
2023-07-04,Facebook Ads,03.07.23women,14,0.2,0,women,b4,False,0.0,
2023-07-04,Tiktok Ads,12.07.2023wide_DE,2849,6.45,6,wide,v1,False,0.002106002106002106,1.075
2023-07-05,Organic,,0,0.0,43,,,True,,0.0
2023-07-05,Telegram posts,,0,0.0,0,,,False,,
2023-07-05,SMM,,0,0.0,3,,,True,,0.0
2023-07-05,Bloggers,,0,0.0,0,,,False,,
2023-07-05,CRM,,0,0.0,0,,,False,,
2023-07-05,Tiktok Ads,,0,0.0,0,,,False,,
2023-07-05,Google Ads,,0,0.0,0,,,False,,
2023-07-05,Facebook Ads,02.07.23wide_DE,62,1.16,2,wide,b2,False,0.03225806451612903,0.58
2023-07-05,Google Ads,gen_analyst_DE,117,6.1,7,,,False,0.05982905982905983,0.8714285714285713
2023-07-05,Google Ads,performancemax_eng_DE,12729,42.4,324,,,False,0.02545368842799906,0.1308641975308642
2023-07-05,Facebook Ads,03.07.23women,741,10.84,20,women,b3,False,0.02699055330634278,0.542
2023-07-05,Facebook Ads,02.07.23wide_DE,1,0.01,0,wide,b1,False,0.0,
2023-07-05,Facebook Ads,03.07.23women,50,0.49,2,women,b2,False,0.04,0.245
2023-07-05,Facebook Ads,02.07.23wide_DE,3,0.05,0,wide,b4,False,0.0,
2023-07-05,Tiktok Ads,12.07.2023wide_DE,4413,14.69,12,wide,v2,False,0.002719238613188307,1.2241666666666666
2023-07-05,Facebook Ads,03.07.23women,1,0.0,0,women,b1,False,0.0,
2023-07-05,Youtube Ads,,0,0.0,0,,,False,,
2023-07-05,Facebook Ads,,0,0.0,0,,,False,,
2023-07-05,Tiktok Ads,12.07.2023wide_DE,2103,5.31,3,wide,v1,False,0.0014265335235378032,1.7699999999999998
2023-07-05,Facebook Ads,02.07.23wide_DE,866,15.02,27,wide,b3,False,0.03117782909930716,0.5562962962962963
2023-07-05,Facebook Ads,03.07.23women,6,0.07,0,women,b4,False,0.0,
2023-07-06,Facebook Ads,05.07.23interests_DE,17,0.11,1,interest_programming,b4,False,0.058823529411764705,0.11
2023-07-06,Facebook Ads,04.07.23recentlymoved_DE,29,0.41,0,recentlymoved,b4,False,0.0,
2023-07-06,SMM,,0,0.0,0,,,False,,
2023-07-06,Telegram posts,,0,0.0,0,,,False,,
2023-07-06,Tiktok Ads,,0,0.0,0,,,False,,
2023-07-06,Facebook Ads,02.07.23wide_DE,3,0.23,0,wide,b1,False,0.0,
2023-07-06,Tiktok Ads,12.07.2023wide_DE,1540,4.13,7,wide,v1,False,0.004545454545454545,0.59
2023-07-06,Facebook Ads,05.07.23interests_DE,10,0.11,0,interest_dataanalytics,b2,False,0.0,
2023-07-06,Bloggers,,0,0.0,0,,,False,,
2023-07-06,Facebook Ads,,0,0.0,0,,,False,,
2023-07-06,Facebook Ads,05.07.23interests_DE,40,0.29,1,interest_work,b2,False,0.025,0.29
2023-07-06,Facebook Ads,05.07.23interests_DE,34,0.55,3,interest_programming,b3,False,0.08823529411764706,0.18333333333333335
2023-07-06,Facebook Ads,03.07.23women,11,0.16,0,women,b4,False,0.0,
2023-07-06,Facebook Ads,05.07.23interests_DE,23,0.14,1,interest_programming,b2,False,0.043478260869565216,0.14
2023-07-06,Facebook Ads,03.07.23women,622,9.28,12,women,b3,False,0.01929260450160772,0.7733333333333333
2023-07-06,Facebook Ads,02.07.23wide_DE,51,0.84,2,wide,b2,False,0.0392156862745098,0.42
2023-07-06,Facebook Ads,05.07.23interests_DE,5,0.02,0,interest_work,b4,False,0.0,
2023-07-06,Facebook Ads,05.07.23interests_DE,19,0.11,1,interest_dataanalytics,b4,False,0.05263157894736842,0.11
2023-07-06,Facebook Ads,02.07.23wide_DE,8,0.08,0,wide,b4,False,0.0,
2023-07-06,Google Ads,performancemax_eng_DE,22171,39.11,393,,,False,0.017725858102927247,0.09951653944020356
2023-07-06,Organic,,0,0.0,28,,,True,,0.0
2023-07-06,Facebook Ads,05.07.23interests_DE,1,0.02,0,interest_work,b1,False,0.0,
2023-07-06,Google Ads,gen_analyst_DE,148,8.82,8,,,False,0.05405405405405406,1.1025
2023-07-06,Google Ads,,0,0.0,0,,,False,,
2023-07-06,Facebook Ads,03.07.23women,56,0.41,0,women,b2,False,0.0,
2023-07-06,Facebook Ads,04.07.23recentlymoved_DE,121,1.32,1,recentlymoved,b2,False,0.008264462809917356,1.32
2023-07-06,Facebook Ads,05.07.23interests_DE,7,0.23,0,interest_work,b3,False,0.0,
2023-07-06,Facebook Ads,04.07.23recentlymoved_DE,9,0.13,0,recentlymoved,b1,False,0.0,
2023-07-06,Facebook Ads,04.07.23recentlymoved_DE,46,0.62,1,recentlymoved,b3,False,0.021739130434782608,0.62
2023-07-06,Facebook Ads,05.07.23interests_DE,3,0.11,0,interest_dataanalytics,b1,False,0.0,
2023-07-06,CRM,,0,0.0,0,,,False,,
2023-07-06,Facebook Ads,02.07.23wide_DE,687,12.42,24,wide,b3,False,0.034934497816593885,0.5175
2023-07-06,Tiktok Ads,12.07.2023wide_DE,2297,7.3,8,wide,v2,False,0.0034828036569438396,0.9125
2023-07-06,Youtube Ads,,0,0.0,0,,,False,,
2023-07-06,Facebook Ads,05.07.23interests_DE,13,0.18,0,interest_dataanalytics,b3,False,0.0,
